Trial,Event,Value,Timestamp
0,NTrials,50,2024-03-23T15:09:40.7781248+00:00
0,StimSize,20,2024-03-23T15:09:40.7781888+00:00
0,LowlFrequence,4000,2024-03-23T15:09:40.7782400+00:00
0,StimDuration,0.5,2024-03-23T15:09:40.7782912+00:00
0,Amplitude,500,2024-03-23T15:09:40.7783936+00:00
1,StimFrequence,8000,2024-03-23T15:09:40.8031488+00:00
0,ITITimes,1,2024-03-23T15:09:40.8037888+00:00
0,ITITimes,1,2024-03-23T15:09:40.8038016+00:00
0,ITITimes,1.1,2024-03-23T15:09:40.8038016+00:00
0,ITITimes,1.1,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.2,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.2,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.3,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.3,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.4,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.4,2024-03-23T15:09:40.8038144+00:00
0,ITITimes,1.5,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.5,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.6,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.6,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.7,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.7,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.8,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.8,2024-03-23T15:09:40.8038272+00:00
0,ITITimes,1.9,2024-03-23T15:09:40.8038400+00:00
0,ITITimes,1.9,2024-03-23T15:09:40.8038400+00:00
0,ITITimes,2,2024-03-23T15:09:40.8038400+00:00
0,ITITimes,2,2024-03-23T15:09:40.8038400+00:00
1,TrialITI,1.7,2024-03-23T15:09:40.8038784+00:00
1,StimOn,1,2024-03-23T15:09:43.3584128+00:00
1,StimOn,0,2024-03-23T15:09:43.3590784+00:00
1,StimFrequence,4000,2024-03-23T15:09:43.6021888+00:00
1,TrialITI,1.7,2024-03-23T15:09:43.6023168+00:00
1,StimOn,1,2024-03-23T15:09:45.0466176+00:00
1,StimOn,0,2024-03-23T15:09:45.3324928+00:00
1,StimFrequence,12000,2024-03-23T15:09:45.5749632+00:00
1,TrialITI,1.6,2024-03-23T15:09:45.5760000+00:00
1,StimOn,1,2024-03-23T15:09:47.1740288+00:00
1,StimOn,0,2024-03-23T15:09:47.4660864+00:00
2,StimFrequence,12000,2024-03-23T15:09:47.7117696+00:00
2,TrialITI,1.4,2024-03-23T15:09:47.7118720+00:00
2,StimOn,1,2024-03-23T15:09:49.1023232+00:00
2,StimOn,0,2024-03-23T15:09:49.3829888+00:00
2,StimFrequence,8000,2024-03-23T15:09:49.6269312+00:00
2,TrialITI,1.8,2024-03-23T15:09:49.6270592+00:00
2,StimOn,1,2024-03-23T15:09:51.4402560+00:00
2,StimOn,0,2024-03-23T15:09:51.7166208+00:00
2,StimFrequence,4000,2024-03-23T15:09:51.9590016+00:00
2,TrialITI,1.3,2024-03-23T15:09:51.9591424+00:00
2,StimOn,1,2024-03-23T15:09:53.2459776+00:00
2,StimOn,0,2024-03-23T15:09:53.5335040+00:00
3,StimFrequence,4000,2024-03-23T15:09:53.7781632+00:00
3,TrialITI,1.1,2024-03-23T15:09:53.7783040+00:00
3,StimOn,1,2024-03-23T15:09:54.8730880+00:00
3,StimOn,0,2024-03-23T15:09:55.1503744+00:00
3,StimFrequence,12000,2024-03-23T15:09:55.3944320+00:00
3,TrialITI,1,2024-03-23T15:09:55.3953920+00:00
3,StimOn,1,2024-03-23T15:09:56.3823360+00:00
3,StimOn,0,2024-03-23T15:09:56.6672256+00:00
3,StimFrequence,8000,2024-03-23T15:09:56.9092480+00:00
3,TrialITI,1.8,2024-03-23T15:09:56.9093760+00:00
3,StimOn,1,2024-03-23T15:09:58.7102208+00:00
3,StimOn,0,2024-03-23T15:09:59.0008576+00:00
4,StimFrequence,12000,2024-03-23T15:09:59.2459776+00:00
4,TrialITI,2,2024-03-23T15:09:59.2460800+00:00
4,StimOn,1,2024-03-23T15:10:01.2408576+00:00
4,StimOn,0,2024-03-23T15:10:01.5345024+00:00
4,StimFrequence,4000,2024-03-23T15:10:01.7789824+00:00
4,TrialITI,1.5,2024-03-23T15:10:01.7791104+00:00
4,StimOn,1,2024-03-23T15:10:03.2821248+00:00
4,StimOn,0,2024-03-23T15:10:03.5680896+00:00
4,StimFrequence,8000,2024-03-23T15:10:03.8071680+00:00
4,TrialITI,2,2024-03-23T15:10:03.8073088+00:00
4,StimOn,1,2024-03-23T15:10:05.8094464+00:00
4,StimOn,0,2024-03-23T15:10:06.1017344+00:00
5,StimFrequence,8000,2024-03-23T15:10:06.3457920+00:00
5,TrialITI,1.8,2024-03-23T15:10:06.3459072+00:00
5,StimOn,1,2024-03-23T15:10:08.1425408+00:00
5,StimOn,0,2024-03-23T15:10:08.4353664+00:00
5,StimFrequence,4000,2024-03-23T15:10:08.6783104+00:00
5,TrialITI,1.6,2024-03-23T15:10:08.6788864+00:00
5,StimOn,1,2024-03-23T15:10:10.2842112+00:00
5,StimOn,0,2024-03-23T15:10:10.5689600+00:00
5,StimFrequence,12000,2024-03-23T15:10:10.8099968+00:00
5,TrialITI,1.8,2024-03-23T15:10:10.8101248+00:00
