Trial,Event,Value,Timestamp
0,NTrials,50,2024-04-02T15:13:13.5025408+01:00
0,StimSize,20,2024-04-02T15:13:13.5026048+01:00
0,StimSpatialFreq,0.1,2024-04-02T15:13:13.5026560+01:00
0,StimDuration,0.5,2024-04-02T15:13:13.5027072+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005206_normalized.JPEG,2024-04-02T15:13:13.5028096+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005234_normalized.JPEG,2024-04-02T15:13:13.5028096+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005237_normalized.JPEG,2024-04-02T15:13:13.5028096+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005238_normalized.JPEG,2024-04-02T15:13:13.5028096+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005268_normalized.JPEG,2024-04-02T15:13:13.5028096+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005274_normalized.JPEG,2024-04-02T15:13:13.5028096+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005338_normalized.JPEG,2024-04-02T15:13:13.5028224+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005357_normalized.JPEG,2024-04-02T15:13:13.5028224+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005393_normalized.JPEG,2024-04-02T15:13:13.5028224+01:00
0,PictureFileName,picture\ILSVRC2017_test_00005396_normalized.JPEG,2024-04-02T15:13:13.5028224+01:00
0,ITITimes,1,2024-04-02T15:13:13.5037824+01:00
0,ITITimes,1,2024-04-02T15:13:13.5037952+01:00
0,ITITimes,1.1,2024-04-02T15:13:13.5037952+01:00
0,ITITimes,1.1,2024-04-02T15:13:13.5038080+01:00
0,ITITimes,1.2,2024-04-02T15:13:13.5038080+01:00
0,ITITimes,1.2,2024-04-02T15:13:13.5038080+01:00
0,ITITimes,1.3,2024-04-02T15:13:13.5038080+01:00
0,ITITimes,1.3,2024-04-02T15:13:13.5038080+01:00
0,ITITimes,1.4,2024-04-02T15:13:13.5038080+01:00
0,ITITimes,1.4,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.5,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.5,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.6,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.6,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.7,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.7,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.8,2024-04-02T15:13:13.5038208+01:00
0,ITITimes,1.8,2024-04-02T15:13:13.5038336+01:00
0,ITITimes,1.9,2024-04-02T15:13:13.5038336+01:00
0,ITITimes,1.9,2024-04-02T15:13:13.5038336+01:00
0,ITITimes,2,2024-04-02T15:13:13.5038336+01:00
0,ITITimes,2,2024-04-02T15:13:13.5038336+01:00
1,PictureID,6,2024-04-02T15:13:13.7772288+01:00
1,TrialITI,1.5,2024-04-02T15:13:13.7773440+01:00
1,StimOn,1,2024-04-02T15:13:15.2778112+01:00
1,StimOn,0,2024-04-02T15:13:16.2718976+01:00
1,PictureID,9,2024-04-02T15:13:16.2721408+01:00
1,TrialITI,1.1,2024-04-02T15:13:16.2722432+01:00
1,StimOn,1,2024-04-02T15:13:17.3784320+01:00
1,StimOn,0,2024-04-02T15:13:18.3721344+01:00
1,PictureID,2,2024-04-02T15:13:18.3723136+01:00
1,TrialITI,1.5,2024-04-02T15:13:18.3724032+01:00
1,StimOn,1,2024-04-02T15:13:19.8954880+01:00
1,StimOn,0,2024-04-02T15:13:20.8891136+01:00
1,PictureID,3,2024-04-02T15:13:20.8892928+01:00
1,TrialITI,1.4,2024-04-02T15:13:20.8893824+01:00
1,StimOn,1,2024-04-02T15:13:22.2957568+01:00
1,StimOn,0,2024-04-02T15:13:23.2894336+01:00
1,PictureID,8,2024-04-02T15:13:23.2896768+01:00
1,TrialITI,1.2,2024-04-02T15:13:23.2897664+01:00
1,StimOn,1,2024-04-02T15:13:24.4960896+01:00
1,StimOn,0,2024-04-02T15:13:25.4896896+01:00
1,PictureID,1,2024-04-02T15:13:25.4898688+01:00
1,TrialITI,1.7,2024-04-02T15:13:25.4899584+01:00
1,StimOn,1,2024-04-02T15:13:27.2137984+01:00
1,StimOn,0,2024-04-02T15:13:28.2067072+01:00
1,PictureID,4,2024-04-02T15:13:28.2068864+01:00
1,TrialITI,1.1,2024-04-02T15:13:28.2069760+01:00
1,StimOn,1,2024-04-02T15:13:29.3141888+01:00
1,StimOn,0,2024-04-02T15:13:30.3069952+01:00
1,PictureID,0,2024-04-02T15:13:30.3072384+01:00
1,TrialITI,1.9,2024-04-02T15:13:30.3073536+01:00
1,StimOn,1,2024-04-02T15:13:32.2316160+01:00
1,StimOn,0,2024-04-02T15:13:33.2240000+01:00
1,PictureID,5,2024-04-02T15:13:33.2241792+01:00
1,TrialITI,1.6,2024-04-02T15:13:33.2242688+01:00
1,StimOn,1,2024-04-02T15:13:34.8486144+01:00
1,StimOn,0,2024-04-02T15:13:35.8409856+01:00
1,PictureID,7,2024-04-02T15:13:35.8411776+01:00
1,TrialITI,1.2,2024-04-02T15:13:35.8412672+01:00
1,StimOn,1,2024-04-02T15:13:37.0489216+01:00
1,StimOn,0,2024-04-02T15:13:38.0412672+01:00
2,PictureID,4,2024-04-02T15:13:38.0416384+01:00
2,TrialITI,1.4,2024-04-02T15:13:38.0417152+01:00
2,StimOn,1,2024-04-02T15:13:39.4492160+01:00
2,StimOn,0,2024-04-02T15:13:40.4415616+01:00
2,PictureID,9,2024-04-02T15:13:40.4417536+01:00
2,TrialITI,1,2024-04-02T15:13:40.4418560+01:00
2,StimOn,1,2024-04-02T15:13:41.4494720+01:00
2,StimOn,0,2024-04-02T15:13:42.4418048+01:00
2,PictureID,7,2024-04-02T15:13:42.4419840+01:00
2,TrialITI,1.7,2024-04-02T15:13:42.4428032+01:00
2,StimOn,1,2024-04-02T15:13:44.1665664+01:00
2,StimOn,0,2024-04-02T15:13:45.1588096+01:00
2,PictureID,8,2024-04-02T15:13:45.1590016+01:00
2,TrialITI,1.8,2024-04-02T15:13:45.1590912+01:00
2,StimOn,1,2024-04-02T15:13:46.9835648+01:00
2,StimOn,0,2024-04-02T15:13:47.9758464+01:00
2,PictureID,3,2024-04-02T15:13:47.9760896+01:00
2,TrialITI,1.4,2024-04-02T15:13:47.9762048+01:00
2,StimOn,1,2024-04-02T15:13:49.3839232+01:00
2,StimOn,0,2024-04-02T15:13:50.3761152+01:00
2,PictureID,1,2024-04-02T15:13:50.3762944+01:00
2,TrialITI,1.6,2024-04-02T15:13:50.3763840+01:00
2,StimOn,1,2024-04-02T15:13:52.0009472+01:00
2,StimOn,0,2024-04-02T15:13:52.9931264+01:00
2,PictureID,2,2024-04-02T15:13:52.9933056+01:00
2,TrialITI,1.8,2024-04-02T15:13:52.9933952+01:00
2,StimOn,1,2024-04-02T15:13:54.8180224+01:00
2,StimOn,0,2024-04-02T15:13:55.8101376+01:00
2,PictureID,6,2024-04-02T15:13:55.8103040+01:00
2,TrialITI,1.1,2024-04-02T15:13:55.8103808+01:00
2,StimOn,1,2024-04-02T15:13:56.9183488+01:00
2,StimOn,0,2024-04-02T15:13:57.9104000+01:00
2,PictureID,5,2024-04-02T15:13:57.9106048+01:00
2,TrialITI,1.3,2024-04-02T15:13:57.9107072+01:00
2,StimOn,1,2024-04-02T15:13:59.2186112+01:00
2,StimOn,0,2024-04-02T15:14:00.2106880+01:00
2,PictureID,0,2024-04-02T15:14:00.2108672+01:00
2,TrialITI,1.3,2024-04-02T15:14:00.2109696+01:00
2,StimOn,1,2024-04-02T15:14:01.5190144+01:00
2,StimOn,0,2024-04-02T15:14:02.5109760+01:00
3,PictureID,0,2024-04-02T15:14:02.5118976+01:00
3,TrialITI,1.4,2024-04-02T15:14:02.5119872+01:00
3,StimOn,1,2024-04-02T15:14:03.9195776+01:00
3,StimOn,0,2024-04-02T15:14:04.9112704+01:00
3,PictureID,7,2024-04-02T15:14:04.9114496+01:00
3,TrialITI,1.3,2024-04-02T15:14:04.9115264+01:00
3,StimOn,1,2024-04-02T15:14:06.2201216+01:00
3,StimOn,0,2024-04-02T15:14:07.2115584+01:00
3,PictureID,5,2024-04-02T15:14:07.2117376+01:00
3,TrialITI,1.9,2024-04-02T15:14:07.2118272+01:00
3,StimOn,1,2024-04-02T15:14:09.1376000+01:00
3,StimOn,0,2024-04-02T15:14:10.1286016+01:00
3,PictureID,6,2024-04-02T15:14:10.1290240+01:00
3,TrialITI,1,2024-04-02T15:14:10.1293184+01:00
3,StimOn,1,2024-04-02T15:14:11.1378560+01:00
3,StimOn,0,2024-04-02T15:14:12.1288448+01:00
3,PictureID,3,2024-04-02T15:14:12.1290496+01:00
3,TrialITI,1.6,2024-04-02T15:14:12.1291392+01:00
3,StimOn,1,2024-04-02T15:14:13.7548544+01:00
3,StimOn,0,2024-04-02T15:14:14.7458304+01:00
3,PictureID,1,2024-04-02T15:14:14.7460096+01:00
3,TrialITI,1,2024-04-02T15:14:14.7460864+01:00
3,StimOn,1,2024-04-02T15:14:15.7551744+01:00
3,StimOn,0,2024-04-02T15:14:16.7460736+01:00
3,PictureID,2,2024-04-02T15:14:16.7462528+01:00
3,TrialITI,1,2024-04-02T15:14:16.7463424+01:00
3,StimOn,1,2024-04-02T15:14:17.7559040+01:00
3,StimOn,0,2024-04-02T15:14:18.7463296+01:00
3,PictureID,8,2024-04-02T15:14:18.7465216+01:00
3,TrialITI,1.7,2024-04-02T15:14:18.7465984+01:00
3,StimOn,1,2024-04-02T15:14:20.4730880+01:00
3,StimOn,0,2024-04-02T15:14:21.4633344+01:00
3,PictureID,9,2024-04-02T15:14:21.4635264+01:00
3,TrialITI,1.1,2024-04-02T15:14:21.4636160+01:00
3,StimOn,1,2024-04-02T15:14:22.5734784+01:00
3,StimOn,0,2024-04-02T15:14:23.5635968+01:00
3,PictureID,4,2024-04-02T15:14:23.5637760+01:00
3,TrialITI,1.5,2024-04-02T15:14:23.5638656+01:00
3,StimOn,1,2024-04-02T15:14:25.0905088+01:00
3,StimOn,0,2024-04-02T15:14:26.0805888+01:00
